"attribute","attribute_label","level","level_numerical","image"
"arrested_low","Ձերբակալե՞լ է ցածր պաշտոն զբաղեցնող բազմաթիվ կոռումպացված պաշտոնյաների։","Այո, ձերբակալել է բազմաթիվ պաշտոնյաների","arrested_low1","arrested_low1.jpg"
"arrested_low","Ձերբակալե՞լ է ցածր պաշտոն զբաղեցնող բազմաթիվ կոռումպացված պաշտոնյաների։","Ոչ, չի ձերբակալել բազմաթիվ պաշտոնյաների","arrested_low2","arrested_low2.jpg"
"arrested_high","Ձերբակալե՞լ է բարձր պաշտոն զբաղեցնող բազմաթիվ կոռումպացված պաշտոնյաների։","Այո, ձերբակալել է բազմաթիվ պաշտոնյաների","arrested_high1","arrested_high1.jpg"
"arrested_high","Ձերբակալե՞լ է բարձր պաշտոն զբաղեցնող բազմաթիվ կոռումպացված պաշտոնյաների։","Ոչ, չի ձերբակալել բազմաթիվ պաշտոնյաների","arrested_high2","arrested_high2.jpg"
"arrested_bus","Ձերբակալե՞լ է բազմաթիվ կոռումպացված բիզնեսների ղեկավարների։","Այո, ձերբակալել է բազմաթիվ ղեկավարների","arrested_bus1","arrested_bus1.jpg"
"arrested_bus","Ձերբակալե՞լ է բազմաթիվ կոռումպացված բիզնեսների ղեկավարների։","Ոչ, չի ձերբակալել բազմաթիվ ղեկավարների","arrested_bus2","arrested_bus2.jpg"
"raise","Բարձրացրե՞լ է քաղ․ ծառայողների աշխատավարձերը՝ ազնվությունը մեծացնելու համար։","Այո, բարձրացրել է աշխատավարձերը","raise1","raise1.jpg"
"raise","Բարձրացրե՞լ է քաղ․ ծառայողների աշխատավարձերը՝ ազնվությունը մեծացնելու համար։","Ոչ, չի բարձրացրել աշխատավարձերը","raise2","raise2.jpg"
"audits","Իրականացրե՞լ է ստուգումներ/աուդիտ տեղական ինքնակառավարման մարմիններում հնարավոր կոռուպցիայի հայնաբերման համար։","Այո, իրականացրել է ստուգումներ/աուդիտ","audits1","audits1.jpg"
"audits","Իրականացրե՞լ է ստուգումներ/աուդիտ տեղական ինքնակառավարման մարմիններում հնարավոր կոռուպցիայի հայնաբերման համար։","Ոչ, չի իրականացրել ստուգումներ/աուդիտ","audits2","audits2.jpg"
"trainings","Անցկացրե՞լ է հակակոռուպցիոն դասընթացներ դպրոցներում և բուհերում։","Այո, իրականացրել է դասընթացեր","trainings1","trainings1.jpg"
"trainings","Անցկացրե՞լ է հակակոռուպցիոն դասընթացներ դպրոցներում և բուհերում։","Այո, իրականացրել է դասընթացեր","trainings2","trainings2.jpg"
"protections_report","Բարելավե՞լ է կոռուպցիայի մասին ահազանգող քաղաքացիների իրավական պաշտպանությունը:","Այո, բարելավել է պաշտպանությունը","protections_report1","protections_report1.jpg"
"protections_report","Բարելավե՞լ է կոռուպցիայի մասին ահազանգող քաղաքացիների իրավական պաշտպանությունը:","Այո, բարելավել է պաշտպանությունը","protections_report2","protections_report2.jpg"
"mandatory_report","Պահանջե՞լ է պետական պաշտոնյաների եկամուտների և ունեցվածքի պարտադիր հայտարարագրում։","Այո, պահանջել է հայտարարագրում","mandatory_report1","mandatory_report1.jpg"
"mandatory_report","Պահանջե՞լ է պետական պաշտոնյաների եկամուտների և ունեցվածքի պարտադիր հայտարարագրում։","Ոչ, չի պահանջել հայտարարագրում","mandatory_report2","mandatory_report2.jpg"
"cs_exam","Անցկացրե՞լ է քաղ․ ծառայության քննություն՝ պետական պաշտոնյաներին ըստ արժանիքների աշխատանքի ընդունելու համար։","Այո, անցկացրել է քննություն","cs_exam1","cs_exam1.jpg"
"cs_exam","Անցկացրե՞լ է քաղ․ ծառայության քննություն՝ պետական պաշտոնյաներին ըստ արժանիքների աշխատանքի ընդունելու համար։","Ոչ, չի անցկացրել քննություն","cs_exam2","cs_exam2.jpg"
"gov_purchases","Ստեղծե՞լ է թափանցիկ և հանրությանը հասանելի առցանց հարթակ պետական գնումների համար:","Այո, լիազորել է առցանց գնումներ","gov_purchases1","gov_purchases1.jpg"
"gov_purchases","Ստեղծե՞լ է թափանցիկ և հանրությանը հասանելի առցանց հարթակ պետական գնումների համար:","Ոչ, չի լիազորել առցանց գնումներ","gov_purchases2","gov_purchases2.jpg"
