value,seq
9BbqyG,"Կոռուպցիայի տեսակը, Պաշտոնյայի աշխատանքի ոլորտը, Արդյոք պաշտոնյան գործում է միայնակ, Ինչ նպատակով է պաշտոնյան օգտագործում ստացված կաշառքը, Կոռուպցիայի չափը, Պաշտոնյայի աստիճանը, Պաշտոնյայի սեռը"
Nypb2v,"Կոռուպցիայի տեսակը, Պաշտոնյայի սեռը, Կոռուպցիայի չափը, Ինչ նպատակով է պաշտոնյան օգտագործում ստացված կաշառքը, Արդյոք պաշտոնյան գործում է միայնակ, Պաշտոնյայի աշխատանքի ոլորտը, Պաշտոնյայի աստիճանը"
NyGq2d,"Կոռուպցիայի տեսակը, Կոռուպցիայի չափը, Ինչ նպատակով է պաշտոնյան օգտագործում ստացված կաշառքը, Արդյոք պաշտոնյան գործում է միայնակ, Պաշտոնյայի աստիճանը, Պաշտոնյայի աշխատանքի ոլորտը, Պաշտոնյայի սեռը"
7BOx2N,"Կոռուպցիայի տեսակը, Պաշտոնյայի սեռը, Կոռուպցիայի չափը, Պաշտոնյայի աշխատանքի ոլորտը, Պաշտոնյայի աստիճանը, Ինչ նպատակով է պաշտոնյան օգտագործում ստացված կաշառքը, Արդյոք պաշտոնյան գործում է միայնակ"
32kEy5,"Կոռուպցիայի տեսակը, Պաշտոնյայի աստիճանը, Պաշտոնյայի աշխատանքի ոլորտը, Կոռուպցիայի չափը, Ինչ նպատակով է պաշտոնյան օգտագործում ստացված կաշառքը, Պաշտոնյայի սեռը, Արդյոք պաշտոնյան գործում է միայնակ"
ZyxaBq,"Կոռուպցիայի տեսակը, Կոռուպցիայի չափը, Ինչ նպատակով է պաշտոնյան օգտագործում ստացված կաշառքը, Պաշտոնյայի աստիճանը, Արդյոք պաշտոնյան գործում է միայնակ, Պաշտոնյայի աշխատանքի ոլորտը, Պաշտոնյայի սեռը"
5y3zV6,"Կոռուպցիայի տեսակը, Արդյոք պաշտոնյան գործում է միայնակ, Պաշտոնյայի աշխատանքի ոլորտը, Պաշտոնյայի աստիճանը, Պաշտոնյայի սեռը, Կոռուպցիայի չափը, Ինչ նպատակով է պաշտոնյան օգտագործում ստացված կաշառքը"
MBKx29,"Կոռուպցիայի տեսակը, Արդյոք պաշտոնյան գործում է միայնակ, Ինչ նպատակով է պաշտոնյան օգտագործում ստացված կաշառքը, Պաշտոնյայի սեռը, Կոռուպցիայի չափը, Պաշտոնյայի աշխատանքի ոլորտը, Պաշտոնյայի աստիճանը"
r2Wg2D,"Կոռուպցիայի տեսակը, Պաշտոնյայի աստիճանը, Պաշտոնյայի սեռը, Արդյոք պաշտոնյան գործում է միայնակ, Պաշտոնյայի աշխատանքի ոլորտը, Ինչ նպատակով է պաշտոնյան օգտագործում ստացված կաշառքը, Կոռուպցիայի չափը"
gB5n23,"Կոռուպցիայի տեսակը, Պաշտոնյայի աշխատանքի ոլորտը, Պաշտոնյայի աստիճանը, Կոռուպցիայի չափը, Պաշտոնյայի սեռը, Արդյոք պաշտոնյան գործում է միայնակ, Ինչ նպատակով է պաշտոնյան օգտագործում ստացված կաշառքը"
